id,address,abuse_type_id,abuse_type_other,abuser,description,from_country,from_country_code,created_at
557134,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,1,,ei@mail2jon.com,"Hi there!

I regret to inform you about some sad news for you.
Approximately a month or two ago I have succeeded to gain a total access to all your devices utilized for browsing internet.
Moving forward, I have started observing your internet activities on continuous basis.","United States",US,2022-07-29T06:14:15.000000Z
557144,1KLfJMUv1xbLRikPr3x7BqQoMhZTgcuctn,1,,"mon adresse professionnel de la fac","Salut
Comme vous l'avez peut-être remarqué, je vous ai envoyé un e-mail depuis votre compte de messagerie.

Cela signifie que j'ai un accès complet à votre compte de messagerie.
Je t'observe depuis quelques mois maintenant.
Le fait est que vous avez été infecté par un cheval de Troie via un site pour adultes que vous avez visité.
Si vous n'êtes pas familier avec cela, je vais vous expliquer.

Trojan me donne un accès et un contrôle complets sur votre appareil.
Cela signifie que je peux tout voir sur votre écran, allumer la caméra et le microphone, mais vous ne le savez pas.
J'ai également accès à tous vos contacts et à toute votre correspondance.

J'ai fait une vidéo montrant comment vous vous contentez dans la moitié gauche de l'écran et dans la droite moitié vous voyez la vidéo que vous avez regardée.
Vous ne pouviez pas savoir que la caméra fonctionnait.

En un clic de souris, je peux envoyer cette vidéo à tous vos mails et contacts sur les réseaux sociaux.
Je peux également afficher l'accès à toute votre correspondance de contact et aux messagers que vous utilisez.

Si vous voulez éviter cela, transférez le montant de 1450 EUR à mon adresse bitcoin (si vous ne savez pas comment faire, écrivez à Google : « Banxa ou MoonPay ou Simplex ou Transak »).

Mon adresse bitcoin (portefeuille BTC) est : 1KLfJMUv1xbLRikPr3x7BqQoMhZTgcuctn
Après réception du paiement, je supprimerai la vidéo et vous ne m'entendrez plus jamais.

Je vous donne 48 heures pour payer. J'ai un avis de lecture de cette lettre, et la minuterie fonctionnera lorsque vous verrez cette lettre.
Si je constate que vous avez partagé ce message avec quelqu'un d'autre, la vidéo sera immédiatement distribué.
Sincères salutations","United States",US,2022-07-29T06:22:49.000000Z
557154,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,5,,"Pathetic Lying Loser Asshole","Infantile pathetic attempt at scamming innocent porn loving people. I say, release the videos ... ahh but you are liars, nasty scammers ... you idiots don't know what you are talking about ... old scam produced by lame ass morons who are too dumb to do phone scams. DIe scum.","United States",US,2022-07-29T06:23:12.000000Z
557164,bc1qslnv8el9p88dp7pkk4r8u04jkv4ek0rs57ckpp,4,,SETUS@SETUSCURSOSOS.COM.BR,"Ik heb al een screenshot gemaakt. Het is een montage van de pornografische video die je op dat moment aan het kijken was en je masturbatie. Je gezicht is duidelijk zichtbaar. Deze video zal je reputatie voor altijd ruïneren. Ik zal deze video verspreiden onder al uw contacten en kennissen, ik zal hem openbaar maken op het internet. En ook zal ik al uw persoonlijke gegevens publiceren (gesprekken, correspondentie, geschiedenis van bezoeken, uw persoonlijke foto's en video's, al uw geheimen zullen in het publieke domein zijn) Ik zal alles wat ik kon vinden op je apparaat op het publieke internet zetten. Ik denk dat je weet wat ik bedoel. Dit gaat een echte ramp voor je worden. Ik zou je leven voor altijd kunnen ruïneren. Ik denk niet dat je echt wilt dat dat gebeurt. Laten we het zo oplossen: u maakt mij 1100 euro (EUR) over (in bitcoin-equivalent tegen de wisselkoers op het moment van overboeking) en ik zal onmiddellijk al deze vuiligheid van mijn servers verwijderen. Daarna zullen we elkaar vergeten. Mijn bitcoin-portemonnee voor betaling: bc1qslnv8el9p88dp7pkk4r8u04jkv4ek0rs57ckpp Als u niet weet hoe u geld moet overmaken en wat Bitcoin is. Gebruik Google. Ik geef je 2 werkdagen.","United States",US,2022-07-29T06:27:46.000000Z
557174,bc1qslnv8el9p88dp7pkk4r8u04jkv4ek0rs57ckpp,4,,SETUS@SETUSCURSOSOS.COM.BR,"SETUS@SETUSCURSOSOS.COM.BR
Ik heb al een screenshot gemaakt. Het is een montage van de pornografische video die je op dat moment aan het kijken was en je masturbatie. Je gezicht is duidelijk zichtbaar. Deze video zal je reputatie voor altijd ruïneren. Ik zal deze video verspreiden onder al uw contacten en kennissen, ik zal hem openbaar maken op het internet. En ook zal ik al uw persoonlijke gegevens publiceren (gesprekken, correspondentie, geschiedenis van bezoeken, uw persoonlijke foto's en video's, al uw geheimen zullen in het publieke domein zijn) Ik zal alles wat ik kon vinden op je apparaat op het publieke internet zetten. Ik denk dat je weet wat ik bedoel. Dit gaat een echte ramp voor je worden. Ik zou je leven voor altijd kunnen ruïneren. Ik denk niet dat je echt wilt dat dat gebeurt. Laten we het zo oplossen: u maakt mij 1100 euro (EUR) over (in bitcoin-equivalent tegen de wisselkoers op het moment van overboeking) en ik zal onmiddellijk al deze vuiligheid van mijn servers verwijderen. Daarna zullen we elkaar vergeten. Mijn bitcoin-portemonnee voor betaling: bc1qslnv8el9p88dp7pkk4r8u04jkv4ek0rs57ckpp Als u niet weet hoe u geld moet overmaken en wat Bitcoin is. Gebruik Google. Ik geef je 2 werkdagen.","United States",US,2022-07-29T06:29:03.000000Z
557184,bc1qrxeecc52dfktp4qw32fpfmgwzn99udk3chr7va,99,giveawayscam,tesla-mining.info,"This is a cryptocurrency giveaway scam","United States",US,2022-07-29T06:49:59.000000Z
557194,bc1q33nkuwu92qjxtg4avrvmdxvsu8nd083c08quhn,5,,"creditos@sure.com.bo sextortion mail","Mail asking to donate Bitcoin or els they release fotos optained by trojan horse. Scam mails.","United States",US,2022-07-29T06:51:32.000000Z
557204,1QK2CUmzTJLJcQaySnTP3WnwqpHN4VwVA4,99,giveawayscam,lunax2.io,"This is a cryptocurrency giveaway scam","United States",US,2022-07-29T06:53:55.000000Z
557214,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,4,,"breezingt5@en-yah.com (host-36-6.cityonlinebd.net [103.192.158.6] (may be forged))","blablabla

You make a transaction of $1340 USD to my account (an equivalent in bitcoins, which recorded depending on the exchange rate at the date of funds transfer),
hence upon receiving the transfer, I will immediately get rid of all those lustful videos without delay.
After that we can make it look like there was nothing happening beforehand.
Additionally, I can confirm that all the Trojan software is going to be disabled and erased from all devices that you use. You have nothing to worry about,
because I keep my word at all times.

That is indeed a beneficial bargain that comes with a relatively reduced price,
taking into consideration that your profile and traffic were under close monitoring during a long time frame.
If you are still unclear regarding how to buy and perform transactions with bitcoins - everything is available online.

Below is my bitcoin wallet for your further reference: 16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg

All you have is 48 hours and the countdown begins once this email is opened (in other words 2 days).

The following list includes things you should remember and avoid doing:
> There's no point to try replying my email (since this email and return address were created inside your inbox).

blablabla","United States",US,2022-07-29T07:14:00.000000Z
557224,1KLfJMUv1xbLRikPr3x7BqQoMhZTgcuctn,5,,"my mail accound","My account was hacked and if I do not pay within 48 hours, they will","United States",US,2022-07-29T07:28:52.000000Z
557234,1PScXMHNVSLb28BZnX11pMf86RMQqaLNeq,99,"419 fraud","Posing as Godwin Emefiele, Governor, Central Bank of Nigeria","YOUR FUND APPROVED PAYMENT OF $27,000,000.00 (TWENTY SEVEN MILLION DOLLARS THROUGH ATM CARD). Attention dear Beneficiary. I am now in charge of your fund payment in my department here in Central Bank of Nigeria(CBN)and like i stated in my mail that your name appear in our Central Computer here as a beneficiary who have not receive his contract payment for long,Be informed that your fund of $27,Million Dollars has been approved by the IMF and the federal government for payment and we have decided to convert your fund into an ( ATM CARD )","United States",US,2022-07-29T07:53:14.000000Z
557274,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,5,,"spoofed email","I miss the good ol days of Nigerian prince wanting to send me millions. Those scams where actually funny and nice to read. Nowadays it's all copy/paste scam.","United States",US,2022-07-29T08:21:05.000000Z
557284,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,4,,"Basic blackmail scam","Same scammer still using the same bitcoin address","United States",US,2022-07-29T08:25:41.000000Z
557294,bc1qd0gu4ekg36x524lwspsnh8v95uvjpsj5y88c4v,5,,unknown,"Blackmailing by E-mail","United States",US,2022-07-29T08:38:15.000000Z
557304,1H3icWLmhK52zXirNjPw8bqnLVpQaYqC3M,5,,bensont038@gmail.com,"Claim of video","United States",US,2022-07-29T09:24:17.000000Z
557314,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,5,,"Random mail adresses","Because of this Trojan I am able to gain access to entire set of controllers in devices (e.g., your video camera, keyboard, microphone and others).
As result, I effortlessly downloaded all data, as well as photos, web browsing history and other types of data to my servers.","United States",US,2022-07-29T10:33:58.000000Z
557324,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,1,,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:41:30.000000Z
557334,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,1,,Cionbase,"Get in touch with Summitrecoup dot com to help recover all your scammed funds. Got back my $475,680 from CryptotradeFx after being scammed. It also included my profits. All happened withing weeks of contact. They're Legit, precise and Fast!!","United States",US,2022-07-29T10:43:22.000000Z
557344,1H3icWLmhK52zXirNjPw8bqnLVpQaYqC3M,1,,Cionbase,"Get in touch with Summitrecoup dot com to help recover all your scammed funds. Got back my $475,680 from CryptotradeFx after being scammed. It also included my profits. All happened withing weeks of contact. They're Legit, precise and Fast!!","United States",US,2022-07-29T10:44:04.000000Z
557354,1H3icWLmhK52zXirNjPw8bqnLVpQaYqC3M,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:44:42.000000Z
557364,bc1qd0gu4ekg36x524lwspsnh8v95uvjpsj5y88c4v,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:45:38.000000Z
557374,bc1qd0gu4ekg36x524lwspsnh8v95uvjpsj5y88c4v,1,,Cionbase,"Seek help while you can. Contact Summitrecoup com to help recover your scammed investment and bitcoins. Indeed, they're the most reliable charge back firm out there. Make payment after full recovery of funds.","United States",US,2022-07-29T10:46:30.000000Z
557384,1PScXMHNVSLb28BZnX11pMf86RMQqaLNeq,1,,Cionbase,"Seek help while you can. Contact Summitrecoup com to help recover your scammed investment and bitcoins. Indeed, they're the most reliable charge back firm out there. Make payment after full recovery of funds.","United States",US,2022-07-29T10:47:27.000000Z
557394,1PScXMHNVSLb28BZnX11pMf86RMQqaLNeq,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:48:26.000000Z
557404,1KLfJMUv1xbLRikPr3x7BqQoMhZTgcuctn,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:50:55.000000Z
557414,1KLfJMUv1xbLRikPr3x7BqQoMhZTgcuctn,1,,Cionbase,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T10:51:56.000000Z
557424,1QK2CUmzTJLJcQaySnTP3WnwqpHN4VwVA4,1,,Cionbase,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T10:52:41.000000Z
557434,1QK2CUmzTJLJcQaySnTP3WnwqpHN4VwVA4,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:53:28.000000Z
557444,bc1q33nkuwu92qjxtg4avrvmdxvsu8nd083c08quhn,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:54:17.000000Z
557454,bc1q33nkuwu92qjxtg4avrvmdxvsu8nd083c08quhn,99,b,bitcoin,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T10:55:26.000000Z
557464,bc1qrxeecc52dfktp4qw32fpfmgwzn99udk3chr7va,1,,Cionbase,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T10:56:26.000000Z
557474,1QK2CUmzTJLJcQaySnTP3WnwqpHN4VwVA4,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T10:57:14.000000Z
557484,bc1qrxeecc52dfktp4qw32fpfmgwzn99udk3chr7va,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:57:23.000000Z
557494,bc1qslnv8el9p88dp7pkk4r8u04jkv4ek0rs57ckpp,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T10:58:15.000000Z
557504,bc1qslnv8el9p88dp7pkk4r8u04jkv4ek0rs57ckpp,99,b,bitcoin,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T10:59:03.000000Z
557514,bc1qs2kgdkkr5agza7ued3ydauq80p9phrwyva9fpx,1,,Cionbase,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T11:00:04.000000Z
557524,1KLfJMUv1xbLRikPr3x7BqQoMhZTgcuctn,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:00:28.000000Z
557534,bc1qs2kgdkkr5agza7ued3ydauq80p9phrwyva9fpx,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T11:00:45.000000Z
557544,1PScXMHNVSLb28BZnX11pMf86RMQqaLNeq,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:01:29.000000Z
557554,1BTVafTPmFuN44hC99dpe8Jsp3o1RjV3QF,99,b,Cionbase,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T11:01:46.000000Z
557564,bc1qd0gu4ekg36x524lwspsnh8v95uvjpsj5y88c4v,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:02:22.000000Z
557574,1BTVafTPmFuN44hC99dpe8Jsp3o1RjV3QF,1,,Cionbase,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T11:02:42.000000Z
557584,1H3icWLmhK52zXirNjPw8bqnLVpQaYqC3M,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:03:59.000000Z
557594,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:04:51.000000Z
557604,12TMbVpR1sKrk8coLB9Cy1AX6oZhVUnBpN,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T11:04:55.000000Z
557614,bc1q33nkuwu92qjxtg4avrvmdxvsu8nd083c08quhn,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:05:49.000000Z
557624,12TMbVpR1sKrk8coLB9Cy1AX6oZhVUnBpN,1,,Cionbase,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T11:06:46.000000Z
557634,1BTVafTPmFuN44hC99dpe8Jsp3o1RjV3QF,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:07:05.000000Z
557644,15dPjz2ZF9E4vbSWQi69VpRJm1oHNx3g1C,1,,Cionbase,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T11:07:33.000000Z
557654,12TMbVpR1sKrk8coLB9Cy1AX6oZhVUnBpN,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:07:45.000000Z
557664,bc1qwhlap377936cgmx25mcsq69vp6vm3kv2zjc6xl,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:08:28.000000Z
557674,15dPjz2ZF9E4vbSWQi69VpRJm1oHNx3g1C,1,,Cionbase,"Indeed, Summitrecoup is the best charge back company out there, reached out to them after seeing their reviews to help recover my investment and they did just that and more. I’ve been scammed twice by fake recovery companies But Summitrecoup com showed why they’re different and Legit. Got back all my funds.","United States",US,2022-07-29T11:08:47.000000Z
557684,15dPjz2ZF9E4vbSWQi69VpRJm1oHNx3g1C,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T11:09:32.000000Z
557694,bc1qs2kgdkkr5agza7ued3ydauq80p9phrwyva9fpx,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:10:47.000000Z
557704,bc1q3c0lte9ttxaum2fgz4egny9txzy5tay05j4895,3,,Fx_tracy,"I got scammed $94,000 worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.","United States",US,2022-07-29T11:11:38.000000Z
557714,bc1qu2edsvygw5c3ly9e99ykwfkglff9h27zrxgzpt,99,b,bitcoin,"As Inflation is really on the high rise now which isn’t getting funny. I now invest and earn with Coinbloc dot us. Guaranteed weekly returns. This has been a breakthrough for me in this 'tough' period. Really great for new beginners .","United States",US,2022-07-29T11:12:40.000000Z
